property_type,sector,price,bedRoom,bathroom,agePossession,built_up_area,servant room,furnishing_type,luxury_category
0,sector 109,1.68,3.0,3.0,new,1579.0,0.0,0.0,1
0,sector 74,1.5,2.0,2.0,new,1556.0,0.0,0.0,0
0,sector 82,1.45,4.0,3.0,new,1800.0,0.0,0.0,1
0,sector 88a,1.29,3.0,3.0,new,1642.0,0.0,0.0,1
0,sector 37c,1.25,3.0,3.0,new,1563.0,0.0,0.0,0
0,sector 76,1.05,3.0,3.0,new,1597.0,0.0,1.0,1
0,sector 4,0.36,2.0,2.0,new,1056.0,0.0,0.0,0
1,sector 43,5.5,1.0,1.0,old,1935.0,0.0,0.0,0
0,sohna road,1.1,3.0,2.0,new,1319.0,0.0,0.0,1
0,sector 92,0.65,3.0,3.0,old,1304.0,0.0,0.0,1
1,sector 48,18.5,4.0,4.0,old,7000.0,0.0,0.0,0
0,sector 79,0.78,2.0,2.0,new,1172.0,0.0,0.0,1
0,sector 79,1.33,2.0,2.0,new,1411.0,0.0,0.0,2
1,sector 57,3.5,4.0,4.0,old,1620.0,0.0,1.0,1
0,sector 86,1.25,3.0,4.0,new,1339.0,0.0,0.0,0
0,sector 68,1.0,2.0,2.0,new,1311.0,0.0,0.0,0
0,sector 28,0.95,2.0,1.0,old,1188.0,0.0,0.0,1
1,sector 25,10.55,5.0,6.0,old,2700.0,1.0,0.0,1
0,sector 79,1.25,3.0,3.0,new,1212.0,0.0,1.0,2
0,sector 67,2.95,3.0,3.0,new,2150.0,1.0,1.0,2
0,sector 9a,0.95,3.0,3.0,old,1403.0,0.0,0.0,0
1,sector 50,6.8,4.0,5.0,old,2160.0,1.0,1.0,1
0,sector 60,3.75,4.0,4.0,new,2650.0,1.0,1.0,0
0,sohna road,0.27,2.0,2.0,new,508.0,0.0,1.0,1
0,sector 106,1.28,3.0,4.0,new,1186.0,1.0,0.0,0
0,sector 67a,0.55,2.0,2.0,new,581.0,0.0,0.0,1
0,sector 47,2.4,3.0,3.0,old,1888.0,1.0,1.0,1
0,sector 68,1.13,2.0,2.0,new,1130.0,0.0,1.0,1
0,sector 86,1.26,3.0,3.0,old,1747.0,1.0,0.0,1
0,sector 69,2.0,4.0,4.0,new,1889.0,0.0,0.0,2
0,sector 56,1.7,3.0,3.0,old,2200.0,0.0,0.0,0
0,sector 85,2.3,4.0,4.0,new,2545.0,1.0,0.0,0
1,sector 7,1.0,2.0,2.0,old,126.0,0.0,0.0,0
1,sector 4,0.47,3.0,4.0,old,1350.0,0.0,0.0,0
0,sector 109,2.95,4.0,4.0,new,3150.0,1.0,1.0,2
0,sector 47,2.4,3.0,4.0,old,1916.0,1.0,0.0,1
0,sector 28,2.35,3.0,3.0,old,1608.0,1.0,0.0,1
0,sector 92,1.55,3.0,4.0,new,1805.0,1.0,0.0,0
0,sector 92,1.9,4.0,4.0,new,1920.0,1.0,0.0,0
0,sector 113,2.85,3.0,3.0,new,2006.0,1.0,0.0,1
1,sector 1,4.75,6.0,7.0,old,4500.0,0.0,0.0,0
0,sector 37d,1.1,3.0,3.0,new,1990.0,0.0,0.0,1
0,sector 52,5.0,5.0,7.0,old,5778.0,1.0,0.0,1
0,sector 89,1.16,3.0,3.0,under construction,1581.0,0.0,0.0,1
0,sector 43,1.35,3.0,3.0,old,1320.0,0.0,1.0,1
0,sector 77,0.92,3.0,3.0,new,1602.0,0.0,1.0,0
0,sohna road,0.54,2.0,1.0,new,828.0,0.0,0.0,1
0,sector 107,0.38,2.0,2.0,new,627.0,0.0,2.0,0
1,sector 41,9.35,10.0,10.0,old,7500.0,1.0,1.0,1
0,sector 70a,2.5,3.0,3.0,new,1723.0,0.0,1.0,2
0,sector 62,2.1,2.0,2.0,new,1365.0,1.0,0.0,1
1,sector 3 phase 2,0.4,2.0,1.0,new,500.0,0.0,0.0,0
0,sector 92,0.78,2.0,2.0,under construction,846.0,0.0,0.0,0
1,sector 2,5.7,5.0,5.0,old,4550.0,0.0,2.0,1
0,sector 90,1.9,4.0,4.0,new,2468.0,1.0,0.0,1
0,sector 70a,0.85,2.0,2.0,new,842.0,0.0,1.0,0
0,sohna road,0.35,2.0,2.0,new,616.0,0.0,0.0,1
0,sector 93,0.4,2.0,2.0,new,604.0,0.0,0.0,0
0,sector 2,1.02,2.0,2.0,old,1281.0,0.0,0.0,1
0,sector 69,1.8,3.0,3.0,under construction,1893.0,0.0,0.0,0
0,sector 54,10.0,4.0,5.0,old,3000.0,1.0,2.0,2
0,sector 30,1.3,3.0,3.0,old,1401.0,0.0,0.0,0
1,sector 17,3.5,2.0,5.0,old,1440.0,0.0,0.0,0
0,sector 25,3.4,4.0,4.0,old,2744.0,1.0,0.0,0
0,sector 52,0.45,1.0,1.0,old,513.0,0.0,1.0,0
1,sector 86,2.5,4.0,4.0,old,3400.0,1.0,1.0,1
0,sector 106,1.2,3.0,4.0,new,1186.0,1.0,0.0,2
0,sector 79,0.95,2.0,2.0,new,1385.0,0.0,0.0,0
0,sector 33,1.27,2.0,2.0,under construction,1252.0,0.0,0.0,0
0,sohna road,0.78,2.0,2.0,new,1319.0,0.0,1.0,1
0,sector 67a,2.0,3.0,3.0,under construction,1346.0,0.0,0.0,0
0,sector 99a,1.35,3.0,5.0,new,1807.0,1.0,0.0,1
1,sector 4,0.47,2.0,2.0,new,50.0,0.0,1.0,1
0,sector 89,1.0,2.0,2.0,new,1233.0,0.0,0.0,1
0,sector 67,4.55,4.0,4.0,new,2833.0,1.0,1.0,2
0,sector 61,2.3,3.0,3.0,under construction,1475.0,0.0,0.0,1
0,sector 33,2.1,3.0,3.0,under construction,1619.0,0.0,0.0,0
0,sector 92,0.5,3.0,3.0,new,711.0,0.0,2.0,1
0,sector 86,1.23,2.0,2.0,new,1339.0,0.0,0.0,0
0,sector 104,2.45,3.0,4.0,new,2131.0,1.0,1.0,1
0,sector 104,2.0,3.0,4.0,new,2072.0,1.0,0.0,1
0,sector 89,1.71,3.0,2.0,new,1423.0,0.0,0.0,0
0,sector 103,1.5,3.0,3.0,under construction,1741.0,0.0,0.0,1
0,sohna road,0.71,2.0,2.0,new,1131.0,0.0,0.0,0
0,sector 95,0.31,2.0,2.0,new,610.0,0.0,1.0,1
0,sector 95,0.2,1.0,1.0,new,407.0,0.0,0.0,1
0,sector 81,2.29,3.0,4.0,new,1900.0,1.0,2.0,1
0,sector 89,1.7,3.0,3.0,under construction,1944.0,0.0,0.0,1
0,sector 14,4.26,4.0,4.0,old,3250.0,0.0,0.0,0
1,sector 70a,5.25,5.0,4.0,new,2610.0,1.0,1.0,0
0,sector 71,0.82,2.0,2.0,old,1086.0,0.0,0.0,0
